Discipline,Race Cat,Place,Bib#,Time,Last Name,Club,Gender
RR,A,1,102,,Thompson,43465,29577
RR,A,2,106,,Jauch,43465,97034
RR,A,3,104,,Jordan,43465,23223
RR,A,4,101,,Richwine,43465,22202
RR,A,5,107,,Parker,43465,21412
,,,,,,,
RR,B,1,303,,Robbiano,43465,78258
RR,B,2,304,,Parker,43465,24502
RR,B,3,306,,Shisler,43465,24515
RR,B,4,305,,Wade,43465,24515
RR,B,5,307,,Herder,43465,24515
RR,B,6,302,,Thompson,43465,22309
,,,,,,,
RR,C,1,507,,Padar,43465,21412
RR,C,2,515,,Lane,43465,53211
RR,C,3,504,,Mahoney,43465,28584
RR,C,4,516,,Whittington,43465,27104
RR,C,5,503,,Hylton,43465,21409
,,,,,,,
RR,A,1,29,,Travis,43465,44236
RR,A,2,16,,Maddox,43465,24060
RR,A,3,1,,Daniel,43465,70775
RR,A,4,42,,King,43465,22932
RR,A,5,8,,Humphreys,43465,20815
RR,A,6,9,,Jackson,43465,23936
RR,A,7,14,,Leme,43465,22101
RR,A,8,12,,Kooistra,43465,49079
RR,A,9,20,,Murray,43465,23223
RR,A,10,7,,Hubsch,43465,21218
RR,A,11,4,,Franz,43465,20872
RR,A,12,18,,Mizrahi,43465,27708
RR,A,13,21,,Novo,43465,20740
RR,A,14,40,,Gutierrez,43465,27012
RR,A,15,37,,Gilliam,43465,23229
RR,A,16,19,,Moavenzadeh,43465,27705
RR,A,17,5,,Hedgecock,43465,50023
RR,A,18,26,,Sheffer,43465,24060
RR,A,19,17,,Mahlandt,43465,21702
RR,A,20,22,,Oster,43465,20657
RR,A,21,28,,Therrien,43465,32259
RR,A,22,39,,Lyons,43465,17702
,,,,,,,
RR,B,1,201,,Craig,43465,20740
RR,B,2,203,,Erickson,43465,23238
RR,B,3,208,,Schneider,43465,27104
RR,B,4,225,,,,
RR,B,5,213,,Venkatesh,43465,20740
RR,B,6,220,,Payne,43465,21412
RR,B,7,202,,Dunn,43465,21412
RR,B,8,222,,Bowlby,43465,46077
RR,B,9,224,,Wagner,43465,27012
RR,B,10,226,,Benning,43465,91342
RR,B,11,212,,Tran,43465,24515
RR,B,12,206,,Keosian,43465,21804
RR,B,13,223,,Kartvedt,43465,21412
RR,B,14,214,,VomSteeg,43465,21157
,,,,,,,
RR,C,1,438,,,,
RR,C,2,419,,Picard,43465,1507
RR,C,3,430,,Coffey,43465,22079
RR,C,4,415,,Lee,43465,21108
RR,C,5,412,,Jackson,43465,3049
RR,C,6,435,,Heideman,43465,21412
RR,C,7,417,,Liu,43465,22904
RR,C,8,413,,Kartvedt,43465,21412
RR,C,9,420,,Romersi,43465,53217
RR,C,10,429,,Pollock,43465,21412
RR,C,11,401,,Burstein,43465,27284
RR,C,12,411,,Hickman,43465,23185
RR,C,13,434,,Caira,43465,27517
RR,C,14,425,,Tumulty,43465,10547
RR,C,15,437,,,,
RR,C,16,403,,,,
,,,,,,,
RR,D,1,601,,,,
RR,D,2,635,,Brunjes,43465,22180
RR,D,3,605,,Flint,43465,23185
RR,D,4,630,,Wellener,43465,23838
RR,D,5,639,,Schmitt,43465,17522
RR,D,6,634,,Oh,43465,11357
RR,D,7,624,,Sirota,43465,22903
RR,D,8,640,,Stengel,43465,26505
RR,D,9,617,,Korbelak,43465,21113
RR,D,10,603,,Burgess,43465,22201
RR,D,11,642,,Leifer,43465,20832
RR,D,12,631,,Winston,43465,22153
RR,D,13,636,,Tran,43465,24502
RR,D,14,643,,Shahsavari,43465,21218
